"Wild.type.untreated.rep1"	"Wild.type.untreated.rep2"	"Wild.type.untreated.rep3"	"Wild.type.untreated.rep4"	"Wild.type.untreated.rep5"	"Wild.type.antibiotic.treated.rep1"	"Wild.type.antibiotic.treated.rep2"	"Wild.type.antibiotic.treated.rep3"	"Wild.type.antibiotic.treated.rep4"	"Wild.type.antibiotic.treated.rep5"
"CACFD1"	6.735386	6.910514	6.721053	6.650414	6.64658	6.864422	7.000477	6.675377	6.882576	6.755737
"VCPIP1"	6.162212	6.113886	6.35384	6.267129	5.997937	5.982936	5.791533	5.93338	6.241289	5.916514
"ARHGDIB"	6.898729	6.479539	6.416323	6.844418	6.796294	6.41596	6.652155	6.41857	6.372983	6.159594
"TXNIP"	12.253446	12.796681	11.710289	11.685881	12.140331	12.658757	12.576071	12.59512	12.987462	13.020312
"GPR182"	5.55606	5.605717	5.505339	5.698366	5.651107	5.600554	5.566475	5.77368	5.525499	5.532767
"MCM7"	7.022834	7.177781	7.193142	6.546422	6.709628	6.503953	6.466565	6.93554	6.653957	6.329848
"CTSA"	6.101708	6.051291	5.890359	5.953927	6.086006	5.993272	6.080157	6.077778	6.014422	5.992078
"CHFR"	6.940153	6.784122	6.825965	6.810294	6.841992	6.769762	6.862702	6.894296	6.843062	6.804406
"TMPO"	6.329478	6.290582	6.538217	6.157718	6.294523	6.193131	5.919404	6.390129	6.309271	6.124297
"PCK1"	6.591205	6.554021	6.302914	6.028261	6.459523	6.184962	6.734803	6.372634	6.490785	6.782307
"MLLT10"	5.713921	5.578286	5.553547	5.61493	5.883666	5.624992	5.558969	5.624176	5.719644	5.623528
"C16orf54"	8.632654	8.470214	8.558044	8.73668	9.447663	8.324402	9.63186	9.148548	9.149027	9.448667
"BNIP2"	6.049491	5.932654	6.085251	6.281307	6.106963	6.144952	5.736266	6.087047	6.200377	6.121709
"PLEC"	6.363944	6.318583	6.238485	6.466522	6.374902	6.47166	6.606954	6.481992	6.491117	6.432481
"ZMYM6"	5.854013	5.829424	5.884037	5.608577	6.104979	5.567666	5.551541	6.027185	5.868293	5.744389
"KIAA0141"	8.098191	7.797625	7.185361	7.679104	7.515045	7.324192	8.2864	8.143263	7.569664	7.515045
"NCOR1"	7.455837	7.581163	7.451037	7.597245	7.328413	7.244981	7.227596	7.536385	7.378974	7.318752
"TRAPPC1"	9.71943	9.646707	9.636837	9.709966	9.874981	9.723042	10.069167	9.698885	9.650909	9.818713
"NUDT5"	8.070099	7.823302	8.19619	7.500711	8.225094	7.777482	8.057372	8.026434	7.823941	7.700922
"FAM118A"	5.589394	5.735621	5.841339	5.633557	5.77929	5.689493	5.684749	5.607938	5.817224	5.726947
"INTS9"	6.582057	6.45747	6.401117	6.594817	6.397497	6.403624	6.709219	6.483839	6.430285	6.47972
"PCDHB5"	5.698576	5.561328	5.646696	5.714092	5.706296	5.708544	5.824052	5.717375	5.76669	5.68145
"PLD5"	5.682863	5.525257	5.554009	5.669681	5.712521	5.67757	5.792126	5.751992	5.475059	5.517588
"FGF10"	5.567704	5.578414	5.696232	5.597185	5.559703	5.749694	5.629241	5.629297	5.625907	5.68274
"ATG2A"	7.005711	7.04057	6.631695	6.975855	6.808034	6.960382	7.081591	6.845667	6.930129	6.989344
